algorithm,dataset_type,n,k,execution_time_ms,memory_peak_kb,cut_value
Exhaustivo,synthetic,5,3,0.1145,1.219,10.0
Heurística,synthetic,5,3,9.2022,1.047,10.0
Exhaustivo,synthetic,10,3,3.3105,1.688,22.0
Heurística,synthetic,10,3,21.9854,1.172,22.0
Heurística,synthetic,15,3,59.9318,1.383,45.0
Heurística,synthetic,20,3,79.5503,1.266,87.0
Heurística,synthetic,25,3,123.5172,1.367,84.0
Heurística,synthetic,30,3,142.1685,1.469,112.0
Exhaustivo,real (small_4x4.csv),4,3,0.0351,0.82,5.0
Heurística,real (small_4x4.csv),4,3,3.555,0.828,5.0
Heurística,real (medium_12x12.csv),12,3,23.8847,1.219,15.0
Heurística,real (large_30x30.csv),30,3,147.9197,1.469,165.0
Exhaustivo,quality_varying_k_n10,10,2,0.0586,1.094,10.0
Heurística,quality_varying_k_n10,10,2,11.0038,1.172,10.0
Exhaustivo,quality_varying_k_n10,10,3,1.2058,1.102,28.0
Heurística,quality_varying_k_n10,10,3,20.5968,1.172,28.0
Exhaustivo,quality_varying_k_n10,10,4,29.3036,1.109,47.0
Heurística,quality_varying_k_n10,10,4,22.7866,1.172,47.0
Exhaustivo,quality_varying_k_n10,10,5,700.2345,1.117,66.0
Heurística,quality_varying_k_n10,10,5,42.6325,1.445,68.0
Heurística,quality_varying_k_n20,20,2,37.5419,1.359,21.0
Heurística,quality_varying_k_n20,20,3,59.7699,1.266,43.0
Heurística,quality_varying_k_n20,20,4,83.6718,1.266,74.0
Heurística,quality_varying_k_n20,20,5,104.3701,1.586,125.0
Heurística,quality_varying_k_real_m12,12,2,12.9498,1.195,8.0
Heurística,quality_varying_k_real_m12,12,3,22.8186,1.078,15.0
Heurística,quality_varying_k_real_m12,12,4,38.4175,1.078,23.0
Heurística,quality_varying_k_real_m12,12,5,39.9366,1.461,28.0
Heurística,usuario,20,2,365.61,14.07,31.0
Heurística,usuario,20,2,836.99,233.06,31.0
Heurística,usuario,20,2,164.63,0.0,31.0
Heurística,usuario,20,2,449.26,0.0,31.0
Heurística,usuario,36,2,1263.69,24.04,23.0
Heurística,usuario,12,2,262.37,1.22,22.0
Heurística,usuario,47,2,1934.2,34.51,34.0
Exhaustivo,usuario,8,2,2.75,1.02,23.0
Heurística,usuario,20,2,347.11,13.37,13.0
Exhaustivo,usuario,4,2,0.0,1.15,3.0
Exhaustivo,usuario,6,2,0.0,0.99,7.0
